id,shop_id,category_id,name,description,base_price,sale_price,image_url,rating_avg,rating_count,sold_count,prepare_time_min,spicy_level,calories_estimate,portion_size,is_available,is_signature,is_combo,created_at,updated_at
item_003_003,shop_003,cat_003_02,Cơm gà teriyaki,"Cơm gà teriyaki tại Gà Rán Seoul Chicken. Tags: ăn trưa, no lâu. Mức cay 0/5.",69000,,https://cdn.mock.local/items/item_003_003.jpg,4.9,620,2886,23,0,426,1 người,1,0,0,2025-03-24T12:00:00+07:00,2026-05-29T12:00:00+07:00
item_003_004,shop_003,cat_003_03,Khoai tây lắc phô mai,"Khoai tây lắc phô mai tại Gà Rán Seoul Chicken. Tags: ăn vặt, béo. Mức cay 0/5.",39000,37000,https://cdn.mock.local/items/item_003_004.jpg,4.7,1134,781,28,0,594,1 người,1,0,0,2025-03-24T12:00:00+07:00,2026-05-29T12:00:00+07:00
item_003_005,shop_003,cat_003_03,Tokbokki gà cay,"Tokbokki gà cay tại Gà Rán Seoul Chicken. Tags: món Hàn, cay. Mức cay 3/5.",59000,53000,https://cdn.mock.local/items/item_003_005.jpg,4.8,579,110,21,3,653,2 người,1,0,0,2025-03-24T12:00:00+07:00,2026-05-29T12:00:00+07:00
item_003_006,shop_003,cat_003_04,Combo gà 2 người,"Combo gà 2 người tại Gà Rán Seoul Chicken. Tags: ăn nhóm, combo. Mức cay 2/5.",159000,,https://cdn.mock.local/items/item_003_006.jpg,4.6,316,1413,20,2,744,lớn,1,1,1,2025-03-24T12:00:00+07:00,2026-05-29T12:00:00+07:00
item_004_001,shop_004,cat_004_01,Ức gà quinoa bowl,"Ức gà quinoa bowl tại Healthy Bowl Saigon. Tags: healthy, protein cao, ít dầu mỡ. Mức cay 0/5.",89000,,https://cdn.mock.local/items/item_004_001.jpg,4.2,431,2205,6,0,393,2 người,1,1,0,2023-09-16T12:00:00+07:00,2026-05-18T12:00:00+07:00
item_004_002,shop_004,cat_004_02,Salad cá hồi sốt chanh dây,"Salad cá hồi sốt chanh dây tại Healthy Bowl Saigon. Tags: healthy, ít tinh bột. Mức cay 0/5.",109000,,https://cdn.mock.local/items/item_004_002.jpg,4.3,142,3911,14,0,322,lớn,1,0,0,2023-09-16T12:00:00+07:00,2026-05-18T12:00:00+07:00
item_004_003,shop_004,cat_004_01,Bowl bò áp chảo gạo lứt,"Bowl bò áp chảo gạo lứt tại Healthy Bowl Saigon. Tags: healthy, protein cao. Mức cay 0/5.",99000,84000,https://cdn.mock.local/items/item_004_003.jpg,4.1,409,1587,4,0,378,1 người,1,1,0,2023-09-16T12:00:00+07:00,2026-05-18T12:00:00+07:00
item_004_004,shop_004,cat_004_02,Salad đậu gà rau củ,"Salad đậu gà rau củ tại Healthy Bowl Saigon. Tags: chay, healthy. Mức cay 0/5.",79000,,https://cdn.mock.local/items/item_004_004.jpg,4.1,284,2255,15,0,345,2 người,1,0,0,2023-09-16T12:00:00+07:00,2026-05-18T12:00:00+07:00
item_004_005,shop_004,cat_004_03,Smoothie chuối bơ đậu phộng,"Smoothie chuối bơ đậu phộng tại Healthy Bowl Saigon. Tags: healthy, ăn nhẹ. Mức cay 0/5.",49000,42000,https://cdn.mock.local/items/item_004_005.jpg,4.3,179,3734,9,0,299,nhỏ,1,0,0,2023-09-16T12:00:00+07:00,2026-05-18T12:00:00+07:00
item_004_006,shop_004,cat_004_03,Nước ép cần tây táo,"Nước ép cần tây táo tại Healthy Bowl Saigon. Tags: detox, healthy. Mức cay 0/5.",45000,38000,https://cdn.mock.local/items/item_004_006.jpg,3.9,711,396,15,0,230,2 người,1,1,0,2023-09-16T12:00:00+07:00,2026-05-18T12:00:00+07:00
item_005_001,shop_005,cat_005_01,Mì cay hải sản cấp độ 3,"Mì cay hải sản cấp độ 3 tại Mì Cay Sasin Mini Q1. Tags: rất cay, hải sản, bán chạy. Mức cay 5/5.",69000,59000,https://cdn.mock.local/items/item_005_001.jpg,4.2,278,3851,20,5,527,1 người,1,1,0,2024-11-27T12:00:00+07:00,2026-05-31T12:00:00+07:00
item_005_002,shop_005,cat_005_01,Mì cay bò Mỹ cấp độ 1,"Mì cay bò Mỹ cấp độ 1 tại Mì Cay Sasin Mini Q1. Tags: vừa cay, ăn tối. Mức cay 2/5.",65000,62000,https://cdn.mock.local/items/item_005_002.jpg,4.4,35,756,19,2,861,2 người,1,0,0,2024-11-27T12:00:00+07:00,2026-05-31T12:00:00+07:00
item_005_003,shop_005,cat_005_01,Mì cay gà phô mai,"Mì cay gà phô mai tại Mì Cay Sasin Mini Q1. Tags: cay, béo. Mức cay 3/5.",67000,60000,https://cdn.mock.local/items/item_005_003.jpg,4.1,587,649,26,3,513,lớn,1,0,0,2024-11-27T12:00:00+07:00,2026-05-31T12:00:00+07:00
item_005_004,shop_005,cat_005_02,Tokbokki phô mai,"Tokbokki phô mai tại Mì Cay Sasin Mini Q1. Tags: ăn vặt, món Hàn. Mức cay 3/5.",59000,50000,https://cdn.mock.local/items/item_005_004.jpg,4.3,337,3844,18,3,533,nhỏ,1,0,0,2024-11-27T12:00:00+07:00,2026-05-31T12:00:00+07:00
item_005_005,shop_005,cat_005_02,Kimbap chiên,"Kimbap chiên tại Mì Cay Sasin Mini Q1. Tags: ăn vặt, dễ ăn. Mức cay 1/5.",45000,,https://cdn.mock.local/items/item_005_005.jpg,4.2,94,3250,28,1,496,lớn,1,0,0,2024-11-27T12:00:00+07:00,2026-05-31T12:00:00+07:00
item_005_006,shop_005,cat_005_03,Trà đào,Trà đào tại Mì Cay Sasin Mini Q1. Tags: đồ uống. Mức cay 0/5.,25000,21000,https://cdn.mock.local/items/item_005_006.jpg,4.2,74,3867,28,0,96,vừa,1,0,0,2024-11-27T12:00:00+07:00,2026-05-31T12:00:00+07:00
item_006_001,shop_006,cat_006_01,Bánh mì thịt nướng,"Bánh mì thịt nướng tại Bánh Mì Cô Lan. Tags: rẻ, ăn sáng, bán chạy. Mức cay 1/5.",30000,,https://cdn.mock.local/items/item_006_001.jpg,4.1,1118,630,7,1,543,lớn,1,1,0,2024-01-25T12:00:00+07:00,2026-05-16T12:00:00+07:00
item_006_002,shop_006,cat_006_01,Bánh mì chả cá,"Bánh mì chả cá tại Bánh Mì Cô Lan. Tags: rẻ, ăn sáng. Mức cay 1/5.",28000,25000,https://cdn.mock.local/items/item_006_002.jpg,4.2,772,3690,15,1,363,1 người,1,0,0,2024-01-25T12:00:00+07:00,2026-05-16T12:00:00+07:00
item_006_003,shop_006,cat_006_01,Bánh mì xíu mại,"Bánh mì xíu mại tại Bánh Mì Cô Lan. Tags: ăn sáng, đậm vị. Mức cay 1/5.",32000,29000,https://cdn.mock.local/items/item_006_003.jpg,4.3,125,946,14,1,361,1-2 người,1,0,0,2024-01-25T12:00:00+07:00,2026-05-16T12:00:00+07:00
item_006_004,shop_006,cat_006_01,Bánh mì ốp la pate,"Bánh mì ốp la pate tại Bánh Mì Cô Lan. Tags: ăn sáng, dễ ăn. Mức cay 0/5.",30000,26000,https://cdn.mock.local/items/item_006_004.jpg,4.2,856,1620,7,0,509,2 người,1,0,0,2024-01-25T12:00:00+07:00,2026-05-16T12:00:00+07:00
item_006_005,shop_006,cat_006_02,Sữa đậu nành,"Sữa đậu nành tại Bánh Mì Cô Lan. Tags: rẻ, đồ uống. Mức cay 0/5.",15000,,https://cdn.mock.local/items/item_006_005.jpg,4.1,1167,3998,16,0,369,vừa,1,0,0,2024-01-25T12:00:00+07:00,2026-05-16T12:00:00+07:00
item_006_006,shop_006,cat_006_02,Cà phê sữa đá,"Cà phê sữa đá tại Bánh Mì Cô Lan. Tags: đồ uống, cà phê. Mức cay 0/5.",22000,20000,https://cdn.mock.local/items/item_006_006.jpg,4.0,541,2404,11,0,370,vừa,1,0,0,2024-01-25T12:00:00+07:00,2026-05-16T12:00:00+07:00
item_007_001,shop_007,cat_007_01,Phở bò tái,"Phở bò tái tại Phở Bò Nam Định 24h. Tags: món nước, ăn sáng. Mức cay 0/5.",55000,52000,https://cdn.mock.local/items/item_007_001.jpg,4.9,415,2415,12,0,611,1-2 người,1,1,0,2025-05-27T12:00:00+07:00,2026-05-17T12:00:00+07:00
item_007_002,shop_007,cat_007_01,Phở bò chín,"Phở bò chín tại Phở Bò Nam Định 24h. Tags: dễ ăn, món nước. Mức cay 0/5.",55000,,https://cdn.mock.local/items/item_007_002.jpg,4.5,691,2687,14,0,758,lớn,1,0,0,2025-05-27T12:00:00+07:00,2026-05-17T12:00:00+07:00
item_007_003,shop_007,cat_007_01,Phở đặc biệt,"Phở đặc biệt tại Phở Bò Nam Định 24h. Tags: no lâu, bán chạy. Mức cay 0/5.",75000,,https://cdn.mock.local/items/item_007_003.jpg,4.6,374,2953,22,0,756,2 người,1,1,0,2025-05-27T12:00:00+07:00,2026-05-17T12:00:00+07:00
item_007_004,shop_007,cat_007_01,Phở gà xé,"Phở gà xé tại Phở Bò Nam Định 24h. Tags: dễ ăn, ăn sáng. Mức cay 0/5.",52000,,https://cdn.mock.local/items/item_007_004.jpg,4.8,332,3572,22,0,886,2 người,1,0,0,2025-05-27T12:00:00+07:00,2026-05-17T12:00:00+07:00
item_007_005,shop_007,cat_007_02,Quẩy nóng,Quẩy nóng tại Phở Bò Nam Định 24h. Tags: topping. Mức cay 0/5.,12000,,https://cdn.mock.local/items/item_007_005.jpg,4.8,178,1226,12,0,62,2 người,1,0,0,2025-05-27T12:00:00+07:00,2026-05-17T12:00:00+07:00
item_007_006,shop_007,cat_007_03,Trà đá,"Trà đá tại Phở Bò Nam Định 24h. Tags: rẻ, đồ uống. Mức cay 0/5.",8000,,https://cdn.mock.local/items/item_007_006.jpg,4.6,56,1581,16,0,123,1-2 người,1,0,0,2025-05-27T12:00:00+07:00,2026-05-17T12:00:00+07:00
item_008_001,shop_008,cat_008_01,Bún thịt nướng chả giò,"Bún thịt nướng chả giò tại Bún Thịt Nướng An Nhiên. Tags: bán chạy, ăn trưa. Mức cay 0/5.",55000,50000,https://cdn.mock.local/items/item_008_001.jpg,4.5,160,2253,26,0,377,2 người,1,1,0,2025-01-24T12:00:00+07:00,2026-05-27T12:00:00+07:00
item_008_002,shop_008,cat_008_01,Bún nem nướng,"Bún nem nướng tại Bún Thịt Nướng An Nhiên. Tags: đậm vị, dễ ăn. Mức cay 0/5.",59000,56000,https://cdn.mock.local/items/item_008_002.jpg,4.7,607,712,26,0,655,nhỏ,1,0,0,2025-01-24T12:00:00+07:00,2026-05-27T12:00:00+07:00
item_008_003,shop_008,cat_008_01,Bún bò xào,"Bún bò xào tại Bún Thịt Nướng An Nhiên. Tags: no lâu, ăn trưa. Mức cay 0/5.",62000,,https://cdn.mock.local/items/item_008_003.jpg,4.6,370,308,26,0,879,nhỏ,1,0,0,2025-01-24T12:00:00+07:00,2026-05-27T12:00:00+07:00
item_008_004,shop_008,cat_008_02,Gỏi cuốn tôm thịt,"Gỏi cuốn tôm thịt tại Bún Thịt Nướng An Nhiên. Tags: ăn nhẹ, ít dầu mỡ. Mức cay 0/5.",39000,,https://cdn.mock.local/items/item_008_004.jpg,4.4,69,1303,17,0,555,lớn,1,0,0,2025-01-24T12:00:00+07:00,2026-05-27T12:00:00+07:00
item_008_005,shop_008,cat_008_03,Chả giò thêm,"Chả giò thêm tại Bún Thịt Nướng An Nhiên. Tags: topping, giòn. Mức cay 0/5.",25000,23000,https://cdn.mock.local/items/item_008_005.jpg,4.4,727,2974,29,0,186,lớn,0,0,0,2025-01-24T12:00:00+07:00,2026-05-27T12:00:00+07:00
item_008_006,shop_008,cat_008_04,Nước mía,Nước mía tại Bún Thịt Nướng An Nhiên. Tags: đồ uống. Mức cay 0/5.,18000,,https://cdn.mock.local/items/item_008_006.jpg,4.5,174,3102,28,0,367,1 người,1,0,0,2025-01-24T12:00:00+07:00,2026-05-27T12:00:00+07:00
item_009_001,shop_009,cat_009_01,Pizza pepperoni size M,"Pizza pepperoni size M tại Pizza Urban Slice. Tags: ăn nhóm, bán chạy. Mức cay 1/5.",129000,,https://cdn.mock.local/items/item_009_001.jpg,4.0,220,523,16,1,857,2 người,1,1,0,2024-02-12T12:00:00+07:00,2026-05-28T12:00:00+07:00
item_009_002,shop_009,cat_009_01,Pizza hải sản size M,"Pizza hải sản size M tại Pizza Urban Slice. Tags: hải sản, ăn nhóm. Mức cay 1/5.",149000,,https://cdn.mock.local/items/item_009_002.jpg,4.3,662,2681,16,1,1040,2 người,1,0,0,2024-02-12T12:00:00+07:00,2026-05-28T12:00:00+07:00
item_009_003,shop_009,cat_009_01,Pizza bò BBQ size M,"Pizza bò BBQ size M tại Pizza Urban Slice. Tags: đậm vị, ăn tối. Mức cay 0/5.",139000,118000,https://cdn.mock.local/items/item_009_003.jpg,4.1,856,2371,22,0,756,nhỏ,1,0,0,2024-02-12T12:00:00+07:00,2026-05-28T12:00:00+07:00
item_009_004,shop_009,cat_009_02,Mì Ý bò bằm,"Mì Ý bò bằm tại Pizza Urban Slice. Tags: dễ ăn, no lâu. Mức cay 0/5.",79000,,https://cdn.mock.local/items/item_009_004.jpg,4.3,88,1038,25,0,413,lớn,1,0,0,2024-02-12T12:00:00+07:00,2026-05-28T12:00:00+07:00
item_009_005,shop_009,cat_009_03,Khoai tây chiên,Khoai tây chiên tại Pizza Urban Slice. Tags: ăn vặt. Mức cay 0/5.,39000,,https://cdn.mock.local/items/item_009_005.jpg,4.1,759,3648,18,0,710,nhỏ,1,0,0,2024-02-12T12:00:00+07:00,2026-05-28T12:00:00+07:00
item_009_006,shop_009,cat_009_04,Combo pizza 2 người,"Combo pizza 2 người tại Pizza Urban Slice. Tags: combo, ăn nhóm. Mức cay 1/5.",199000,169000,https://cdn.mock.local/items/item_009_006.jpg,3.9,249,3584,19,1,959,1 người,1,0,1,2024-02-12T12:00:00+07:00,2026-05-28T12:00:00+07:00
item_010_001,shop_010,cat_010_01,Bento cá hồi teriyaki,"Bento cá hồi teriyaki tại Sushi Bento Tokyo. Tags: ăn trưa, cao cấp. Mức cay 0/5.",119000,109000,https://cdn.mock.local/items/item_010_001.jpg,4.8,518,1770,23,0,853,nhỏ,1,1,0,2023-05-28T12:00:00+07:00,2026-05-19T12:00:00+07:00
item_010_002,shop_010,cat_010_02,Sushi cá hồi set 8 miếng,"Sushi cá hồi set 8 miếng tại Sushi Bento Tokyo. Tags: tươi, cao cấp. Mức cay 0/5.",139000,,https://cdn.mock.local/items/item_010_002.jpg,4.6,1184,3207,22,0,411,1 người,1,1,0,2023-05-28T12:00:00+07:00,2026-05-19T12:00:00+07:00
item_010_003,shop_010,cat_010_02,Cơm cuộn California,"Cơm cuộn California tại Sushi Bento Tokyo. Tags: dễ ăn, món Nhật. Mức cay 0/5.",89000,,https://cdn.mock.local/items/item_010_003.jpg,4.6,664,3520,14,0,720,vừa,1,0,0,2023-05-28T12:00:00+07:00,2026-05-19T12:00:00+07:00
item_010_004,shop_010,cat_010_03,Donburi bò Gyudon,"Donburi bò Gyudon tại Sushi Bento Tokyo. Tags: no lâu, ăn trưa. Mức cay 0/5.",99000,84000,https://cdn.mock.local/items/item_010_004.jpg,4.7,943,820,20,0,590,vừa,1,0,0,2023-05-28T12:00:00+07:00,2026-05-19T12:00:00+07:00
item_010_005,shop_010,cat_010_04,Miso soup,Miso soup tại Sushi Bento Tokyo. Tags: món phụ. Mức cay 0/5.,25000,,https://cdn.mock.local/items/item_010_005.jpg,4.7,647,970,22,0,760,nhỏ,1,0,0,2023-05-28T12:00:00+07:00,2026-05-19T12:00:00+07:00
item_010_006,shop_010,cat_010_05,Trà xanh Nhật,Trà xanh Nhật tại Sushi Bento Tokyo. Tags: đồ uống. Mức cay 0/5.,30000,,https://cdn.mock.local/items/item_010_006.jpg,4.4,1035,3468,15,0,377,2 người,1,0,0,2023-05-28T12:00:00+07:00,2026-05-19T12:00:00+07:00
item_011_001,shop_011,cat_011_01,Lẩu Thái hải sản mini,"Lẩu Thái hải sản mini tại Lẩu Mini Một Người. Tags: cay, hải sản, ăn tối. Mức cay 4/5.",99000,,https://cdn.mock.local/items/item_011_001.jpg,3.9,127,3610,8,4,589,vừa,1,1,0,2025-03-14T12:00:00+07:00,2026-05-19T12:00:00+07:00
item_011_002,shop_011,cat_011_01,Lẩu bò sa tế mini,"Lẩu bò sa tế mini tại Lẩu Mini Một Người. Tags: cay, no lâu. Mức cay 3/5.",95000,,https://cdn.mock.local/items/item_011_002.jpg,4.0,672,2837,20,3,325,vừa,1,0,0,2025-03-14T12:00:00+07:00,2026-05-19T12:00:00+07:00
item_011_003,shop_011,cat_011_01,Lẩu nấm chay mini,"Lẩu nấm chay mini tại Lẩu Mini Một Người. Tags: chay, healthy. Mức cay 1/5.",85000,,https://cdn.mock.local/items/item_011_003.jpg,4.1,462,2129,18,1,460,nhỏ,1,0,0,2025-03-14T12:00:00+07:00,2026-05-19T12:00:00+07:00
item_011_004,shop_011,cat_011_02,Mì thêm,Mì thêm tại Lẩu Mini Một Người. Tags: topping. Mức cay 0/5.,12000,,https://cdn.mock.local/items/item_011_004.jpg,4.2,263,2000,9,0,208,1-2 người,1,0,0,2025-03-14T12:00:00+07:00,2026-05-19T12:00:00+07:00
item_011_005,shop_011,cat_011_02,Rau nấm thêm,"Rau nấm thêm tại Lẩu Mini Một Người. Tags: healthy, topping. Mức cay 0/5.",25000,24000,https://cdn.mock.local/items/item_011_005.jpg,4.3,54,3169,12,0,163,nhỏ,1,0,0,2025-03-14T12:00:00+07:00,2026-05-19T12:00:00+07:00
item_011_006,shop_011,cat_011_03,Nước tắc xí muội,Nước tắc xí muội tại Lẩu Mini Một Người. Tags: đồ uống. Mức cay 0/5.,25000,23000,https://cdn.mock.local/items/item_011_006.jpg,4.1,486,177,15,0,301,vừa,1,1,0,2025-03-14T12:00:00+07:00,2026-05-19T12:00:00+07:00
item_012_001,shop_012,cat_012_01,Cơm chay thập cẩm,"Cơm chay thập cẩm tại Bếp Chay Sen Vàng. Tags: chay, ăn trưa. Mức cay 0/5.",52000,,https://cdn.mock.local/items/item_012_001.jpg,4.4,378,2640,22,0,621,vừa,1,1,0,2025-05-06T12:00:00+07:00,2026-05-23T12:00:00+07:00
item_012_002,shop_012,cat_012_02,Bún Huế chay,"Bún Huế chay tại Bếp Chay Sen Vàng. Tags: chay, món nước. Mức cay 2/5.",55000,52000,https://cdn.mock.local/items/item_012_002.jpg,4.6,112,2071,16,2,593,1 người,1,0,0,2025-05-06T12:00:00+07:00,2026-05-23T12:00:00+07:00
item_012_003,shop_012,cat_012_03,Gỏi cuốn chay,"Gỏi cuốn chay tại Bếp Chay Sen Vàng. Tags: chay, ăn nhẹ. Mức cay 0/5.",39000,,https://cdn.mock.local/items/item_012_003.jpg,4.2,514,1064,28,0,334,2 người,1,0,0,2025-05-06T12:00:00+07:00,2026-05-23T12:00:00+07:00
item_012_004,shop_012,cat_012_04,Nấm kho tiêu,"Nấm kho tiêu tại Bếp Chay Sen Vàng. Tags: đậm vị, chay. Mức cay 1/5.",49000,,https://cdn.mock.local/items/item_012_004.jpg,4.2,657,1772,18,1,559,2 người,1,0,0,2025-05-06T12:00:00+07:00,2026-05-23T12:00:00+07:00
item_012_005,shop_012,cat_012_05,Canh rong biển đậu hũ,"Canh rong biển đậu hũ tại Bếp Chay Sen Vàng. Tags: ít dầu mỡ, chay. Mức cay 0/5.",35000,32000,https://cdn.mock.local/items/item_012_005.jpg,4.4,87,982,22,0,588,2 người,1,0,0,2025-05-06T12:00:00+07:00,2026-05-23T12:00:00+07:00
item_012_006,shop_012,cat_012_06,Sữa bắp,Sữa bắp tại Bếp Chay Sen Vàng. Tags: đồ uống. Mức cay 0/5.,18000,,https://cdn.mock.local/items/item_012_006.jpg,4.3,465,1660,17,0,210,2 người,1,1,0,2025-05-06T12:00:00+07:00,2026-05-23T12:00:00+07:00
item_013_001,shop_013,cat_013_01,Há cảo tôm,"Há cảo tôm tại Dimsum Hồng Kông Express. Tags: hải sản, bán chạy. Mức cay 0/5.",59000,,https://cdn.mock.local/items/item_013_001.jpg,4.5,79,1048,18,0,748,nhỏ,1,1,0,2025-08-15T12:00:00+07:00,2026-05-30T12:00:00+07:00
item_013_002,shop_013,cat_013_01,Xíu mại thịt cua,"Xíu mại thịt cua tại Dimsum Hồng Kông Express. Tags: món Hoa, đậm vị. Mức cay 0/5.",62000,56000,https://cdn.mock.local/items/item_013_002.jpg,4.4,113,3698,21,0,703,nhỏ,1,0,0,2025-08-15T12:00:00+07:00,2026-05-30T12:00:00+07:00
item_013_003,shop_013,cat_013_01,Bánh bao kim sa,"Bánh bao kim sa tại Dimsum Hồng Kông Express. Tags: ngọt nhẹ, ăn nhẹ. Mức cay 0/5.",49000,,https://cdn.mock.local/items/item_013_003.jpg,4.3,108,2321,21,0,372,2 người,1,0,0,2025-08-15T12:00:00+07:00,2026-05-30T12:00:00+07:00
item_013_004,shop_013,cat_013_02,Mì hoành thánh xá xíu,"Mì hoành thánh xá xíu tại Dimsum Hồng Kông Express. Tags: món nước, no lâu. Mức cay 0/5.",69000,66000,https://cdn.mock.local/items/item_013_004.jpg,4.5,221,1595,21,0,385,1-2 người,1,0,0,2025-08-15T12:00:00+07:00,2026-05-30T12:00:00+07:00
item_013_005,shop_013,cat_013_01,Chân gà tàu xì,Chân gà tàu xì tại Dimsum Hồng Kông Express. Tags: đậm vị. Mức cay 1/5.,65000,,https://cdn.mock.local/items/item_013_005.jpg,4.4,251,166,25,1,832,nhỏ,1,1,0,2025-08-15T12:00:00+07:00,2026-05-30T12:00:00+07:00
item_013_006,shop_013,cat_013_03,Trà sữa Hồng Kông,Trà sữa Hồng Kông tại Dimsum Hồng Kông Express. Tags: đồ uống. Mức cay 0/5.,35000,32000,https://cdn.mock.local/items/item_013_006.jpg,4.2,236,519,20,0,299,1 người,1,0,0,2025-08-15T12:00:00+07:00,2026-05-30T12:00:00+07:00
item_014_001,shop_014,cat_014_01,Burger bò phô mai,"Burger bò phô mai tại Burger Station Q1. Tags: bán chạy, no lâu. Mức cay 0/5.",79000,,https://cdn.mock.local/items/item_014_001.jpg,4.5,188,3457,26,0,700,1-2 người,1,1,0,2024-04-06T12:00:00+07:00,2026-05-27T12:00:00+07:00
item_014_002,shop_014,cat_014_01,Burger gà giòn,"Burger gà giòn tại Burger Station Q1. Tags: giòn, dễ ăn. Mức cay 1/5.",69000,,https://cdn.mock.local/items/item_014_002.jpg,4.1,246,3908,15,1,1015,lớn,1,0,0,2024-04-06T12:00:00+07:00,2026-05-27T12:00:00+07:00
